sex,Predicted_age,Weekday,TimeOfDay,mean
F,38,Sunday,Noon,46.5
F,38,Thursday,Eve,55.5
F,38,Thursday,Morning,60.0
F,38,Thursday,Night,57.148148148148145
F,38,Thursday,Noon,43.733333333333334
F,38,Tuesday,Eve,58.4
F,38,Tuesday,Morning,61.5
F,38,Tuesday,Night,64.11111111111111
F,38,Tuesday,Noon,58.0
F,38,Wednesday,Eve,61.77777777777778
F,38,Wednesday,Morning,39.0
F,38,Wednesday,Night,52.54545454545455
F,38,Wednesday,Noon,64.6
F,39,Friday,Eve,59.18181818181818
F,39,Friday,Morning,65.0
F,39,Friday,Night,60.36842105263158
F,39,Friday,Noon,73.0
F,39,Monday,Eve,43.5
F,39,Monday,Morning,37.5
F,39,Monday,Night,50.5
F,39,Monday,Noon,58.666666666666664
F,39,Saturday,Eve,58.125
F,39,Saturday,Morning,56.333333333333336
F,39,Saturday,Night,65.25
F,39,Saturday,Noon,62.5
F,39,Sunday,Eve,46.666666666666664
F,39,Sunday,Morning,65.33333333333333
F,39,Sunday,Night,65.18181818181819
F,39,Sunday,Noon,65.0
F,39,Thursday,Eve,54.6
F,39,Thursday,Morning,58.666666666666664
F,39,Thursday,Night,62.89655172413793
F,39,Thursday,Noon,55.916666666666664
F,39,Tuesday,Eve,69.44444444444444
F,39,Tuesday,Morning,46.0
F,39,Tuesday,Night,49.53333333333333
F,39,Tuesday,Noon,65.0
F,39,Wednesday,Eve,64.55555555555556
F,39,Wednesday,Morning,10.0
F,39,Wednesday,Night,59.714285714285715
F,39,Wednesday,Noon,47.714285714285715
F,40,Friday,Eve,61.09090909090909
F,40,Friday,Morning,66.25
F,40,Friday,Night,67.04761904761905
F,40,Friday,Noon,77.2
F,40,Monday,Eve,63.111111111111114
F,40,Monday,Morning,66.0
F,40,Monday,Night,54.85
F,40,Monday,Noon,65.1
F,40,Saturday,Eve,55.57142857142857
F,40,Saturday,Morning,58.666666666666664
F,40,Saturday,Night,58.416666666666664
F,40,Saturday,Noon,48.857142857142854
F,40,Sunday,Eve,57.142857142857146
F,40,Sunday,Morning,65.0
F,40,Sunday,Night,64.22222222222223
F,40,Sunday,Noon,65.25
F,40,Thursday,Eve,57.875
F,40,Thursday,Morning,52.666666666666664
F,40,Thursday,Night,52.6875
F,40,Thursday,Noon,56.625
F,40,Tuesday,Eve,65.75
F,40,Tuesday,Morning,69.0
F,40,Tuesday,Night,55.90909090909091
F,40,Tuesday,Noon,50.5
F,40,Wednesday,Eve,61.75
F,40,Wednesday,Morning,52.333333333333336
F,40,Wednesday,Night,59.625
F,40,Wednesday,Noon,71.2
F,41,Friday,Eve,53.42857142857143
F,41,Friday,Morning,66.33333333333333
F,41,Friday,Night,63.22222222222222
F,41,Friday,Noon,44.333333333333336
F,41,Monday,Eve,55.875
F,41,Monday,Morning,28.333333333333332
F,41,Monday,Night,50.25
F,41,Monday,Noon,63.375
F,41,Saturday,Eve,64.25
F,41,Saturday,Morning,65.0
F,41,Saturday,Night,62.857142857142854
F,41,Saturday,Noon,57.30769230769231
F,41,Sunday,Eve,49.0
F,41,Sunday,Morning,65.2
F,41,Sunday,Night,46.57142857142857
F,41,Sunday,Noon,46.666666666666664
F,41,Thursday,Eve,61.57142857142857
F,41,Thursday,Morning,65.83333333333333
F,41,Thursday,Night,61.72222222222222
F,41,Thursday,Noon,49.416666666666664
F,41,Tuesday,Eve,65.0
F,41,Tuesday,Morning,60.0
F,41,Tuesday,Night,64.05555555555556
F,41,Tuesday,Noon,57.75
F,41,Wednesday,Eve,67.125
F,41,Wednesday,Morning,86.0
F,41,Wednesday,Night,68.05555555555556
F,41,Wednesday,Noon,60.2
F,42,Friday,Eve,52.0
F,42,Friday,Morning,64.0
F,42,Friday,Night,55.0
F,42,Friday,Noon,53.5
F,42,Monday,Eve,60.0
F,42,Monday,Morning,62.54545454545455
F,42,Monday,Night,52.30769230769231
F,42,Monday,Noon,59.666666666666664
F,42,Saturday,Eve,59.642857142857146
F,42,Saturday,Morning,66.75
F,42,Saturday,Night,62.18181818181818
F,42,Saturday,Noon,51.2
F,42,Sunday,Eve,74.66666666666667
F,42,Sunday,Morning,65.0
F,42,Sunday,Night,66.0
F,42,Sunday,Noon,65.0
F,42,Thursday,Eve,55.57142857142857
F,42,Thursday,Morning,68.75
F,42,Thursday,Night,66.0
F,42,Thursday,Noon,51.75
F,42,Tuesday,Eve,66.0
F,42,Tuesday,Morning,37.75
F,42,Tuesday,Night,57.666666666666664
F,42,Tuesday,Noon,49.5
F,42,Wednesday,Eve,53.4
F,42,Wednesday,Morning,66.33333333333333
F,42,Wednesday,Night,56.8
F,42,Wednesday,Noon,76.0
F,43,Friday,Eve,59.266666666666666
F,43,Friday,Morning,62.5
F,43,Friday,Night,60.57142857142857
F,43,Friday,Noon,55.6
F,43,Monday,Eve,61.833333333333336
F,43,Monday,Morning,61.2
F,43,Monday,Night,58.583333333333336
F,43,Monday,Noon,72.6
F,43,Saturday,Eve,63.111111111111114
F,43,Saturday,Morning,10.0
F,43,Saturday,Night,69.85714285714286
F,43,Saturday,Noon,56.6
F,43,Sunday,Eve,65.0
F,43,Sunday,Morning,65.0
F,43,Sunday,Night,58.857142857142854
F,43,Sunday,Noon,55.0
F,43,Thursday,Eve,58.666666666666664
F,43,Thursday,Morning,54.0
F,43,Thursday,Night,63.578947368421055
F,43,Thursday,Noon,37.833333333333336
F,43,Tuesday,Eve,72.5
F,43,Tuesday,Morning,36.0
F,43,Tuesday,Night,59.57142857142857
F,43,Tuesday,Noon,56.2
F,43,Wednesday,Eve,67.0
F,43,Wednesday,Morning,40.0
F,43,Wednesday,Night,64.10526315789474
F,43,Wednesday,Noon,79.5
F,44,Friday,Eve,56.63636363636363
F,44,Friday,Morning,60.0
F,44,Friday,Night,64.0
F,44,Friday,Noon,54.166666666666664
F,44,Monday,Eve,57.857142857142854
F,44,Monday,Morning,58.888888888888886
F,44,Monday,Night,48.785714285714285
F,44,Monday,Noon,60.3
F,44,Saturday,Eve,58.666666666666664
F,44,Saturday,Morning,67.66666666666667
F,44,Saturday,Night,66.07142857142857
F,44,Saturday,Noon,40.0
F,44,Sunday,Eve,25.0
F,44,Sunday,Morning,65.0
F,44,Sunday,Night,61.8
F,44,Sunday,Noon,60.833333333333336
F,44,Thursday,Eve,55.833333333333336
F,44,Thursday,Morning,68.42857142857143
F,44,Thursday,Night,61.357142857142854
F,44,Thursday,Noon,52.0
F,44,Tuesday,Eve,53.5
F,44,Tuesday,Morning,36.5
F,44,Tuesday,Night,55.9
F,44,Tuesday,Noon,51.5
F,44,Wednesday,Eve,73.2
F,44,Wednesday,Morning,65.0
F,44,Wednesday,Night,56.916666666666664
F,44,Wednesday,Noon,40.0
F,45,Friday,Eve,61.7
F,45,Friday,Morning,61.0
F,45,Friday,Night,67.61111111111111
F,45,Friday,Noon,60.4
